company,url,prefecture,source
株式会社三ツワ金砂郷工場,http://www.mitsuwa-net.co.jp/,常陸太田,jyukatsukyo_ibaraki3
砂押木材株式会社,http://park7.wakwak.com/~sunamoku/,ひたちなか,jyukatsukyo_ibaraki3
株式会社五十嵐工匠,http://www.ii-ie.net/~igarashi/,会津若松,jyukatsukyo_fukushima3
ＫＡＺ空間企画,http://www.kaz-kuukan.com,会津若松,jyukatsukyo_fukushima3
小島建築センター,http://www.kojima-kc.sv.bigsite.jp/,会津美里,jyukatsukyo_fukushima3
株式会社やまき工務店,http://www.yamaki-yk.sv.bigsite.jp/,伊達,jyukatsukyo_fukushima3
有限会社佐々進建業,http://www.sasashin.sv.bigsite.jp/,加美,jyukatsukyo_miyagi3
有限会社伊藤与工務店,http://www.ito-yo.com/,多賀城,jyukatsukyo_miyagi3
有限会社和賀建設,http://wagakensetu.ftw.jp/,大崎,jyukatsukyo_miyagi3
有限会社共和建工,http://www.k2-homes.com/hp/kyowa-k/,塩釜,jyukatsukyo_miyagi3
鈴木環境建設株式会社,http://suzuki-kankyo.co.jp,石巻,jyukatsukyo_miyagi3
大東住宅株式会社,http://daitojyutaku.co.jp/,大和,jyukatsukyo_miyagi3
株式会社佐善工務店,http://www.sazen.co.jp/,仙台,jyukatsukyo_miyagi3
有限会社遠藤工務店,http://www2.ocn.ne.jp/~ecc/,石巻,jyukatsukyo_miyagi3
有限会社小畑工務店,http://www.obata-buildersoffice.com/,名取,jyukatsukyo_miyagi3
浦山建設株式会社,http://web.fp-group.gr.jp/uk/,仙台,jyukatsukyo_miyagi3
株式会社気仙沼工務店,http://www16.ocn.ne.jp/~kesennum/,仙台,jyukatsukyo_miyagi3
